system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i
195,136,4,20.9,153589,5645635,1,0.23,,,1.8043478260869565,0.415
199,136,4,87.4,153589,5645635,1,0.325,,,1.676923076923077,0.545
200,136,4,125.0,153589,5645635,1,0.38,,,1.6710526315789473,0.635
202,865,7,7.1,412235,1832679,1,0.275,,,1.981818181818182,0.545
206,865,7,29.9,412235,1832679,1,0.245,,,1.7142857142857142,0.42
210,865,7,125.0,412235,1832679,1,0.32,,,1.9375,0.62
211,213,6,5.0,141762,3297552,1,0.335,,,1.8507462686567164,0.62
215,213,6,20.9,141762,3297552,1,0.425,,,2.0352941176470587,0.865
216,213,6,29.9,141762,3297552,1,0.235,,,1.6170212765957446,0.38
217,213,6,42.7,141762,3297552,1,0.34,,,1.75,0.595
221,808,7,5.0,194378,7168707,1,0.53,,,1.7830188679245282,0.945
225,808,7,20.9,194378,7168707,1,0.34,,,1.8970588235294117,0.645
226,808,7,29.9,194378,7168707,1,0.45,,,1.7777777777777777,0.8
229,808,7,87.4,194378,7168707,1,0.235,,,1.6170212765957446,0.38
230,808,7,125.0,194378,7168707,1,0.515,,,1.8932038834951457,0.975
232,800,5,7.1,482284,6557948,1,0.37,,,1.7972972972972974,0.665
236,800,5,29.9,482284,6557948,1,0.36,,,1.8888888888888888,0.68
239,800,5,87.4,482284,6557948,1,0.315,,,1.9047619047619047,0.6
240,800,5,125.0,482284,6557948,1,0.29,,,1.793103448275862,0.52
241,957,2,5.0,280627,1139953,1,0.525,,,3.3142857142857145,1.74
243,957,2,10.2,280627,1139953,1,0.34,,,1.8676470588235294,0.635
244,957,2,14.6,280627,1139953,1,0.195,,,1.4615384615384615,0.285
245,957,2,20.9,280627,1139953,1,0.34,,,1.6176470588235294,0.55
246,957,2,29.9,280627,1139953,1,0.45,,,1.8111111111111111,0.815
248,957,2,61.0,280627,1139953,1,0.365,,,1.5890410958904109,0.58
251,133,3,5.0,517936,948850,1,0.26,,,1.5769230769230769,0.41
253,133,3,10.2,517936,948850,1,0.22,,,1.5681818181818181,0.345
256,133,3,29.9,517936,948850,1,0.42,,,1.869047619047619,0.785
258,133,3,61.0,517936,948850,1,0.265,,,1.5849056603773586,0.42
260,133,3,125.0,517936,948850,1,0.445,,,1.8089887640449438,0.805
261,469,5,5.0,133171,7254917,1,0.265,,,1.830188679245283,0.485
