config_id,P_ij,B_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
35768,0.29,1.9827586206896552,0.2616111111111111,0.004785321067821067,200,58,358,455,7,61.0,156535,1498820,68,lead_stubborn,0.3706046305857265,0.4761663270697934
35832,0.46,1.9130434782608696,0.4021369047619048,0.005438270757020755,200,92,359,455,7,87.4,156535,1498820,32,lead_stubborn,0.4495856593533723,0.6338235473212548
36405,0.495,1.8282828282828283,0.44653373015873016,0.004881269841269842,200,99,365,590,8,20.9,995472,2540501,5,lead_stubborn,0.4995762557070848,0.3625281920046287
36074,0.42,1.9047619047619047,0.3751448412698412,0.005502658730158732,200,84,361,590,8,5.0,995472,2540501,74,lead_stubborn,0.4831039344913304,0.9827660363748432
36547,0.375,1.9333333333333333,0.34164075630252105,0.005275703781512606,200,75,366,590,8,29.9,995472,2540501,47,lead_stubborn,0.4071129309119736,0.103198652756049
38012,0.38,1.6578947368421053,0.34188095238095245,0.007529880952380943,200,76,381,63,2,5.0,229143,3154915,12,lead_stubborn,0.3985108847427614,0.9637929216712549
38550,0.29,1.603448275862069,0.26437456987456986,0.005042917776667777,200,58,386,63,2,29.9,229143,3154915,50,lead_stubborn,0.3349244931377773,0.5073741801149648
36823,0.25,2.02,0.21961724386724385,0.004526271645021645,200,50,369,590,8,87.4,995472,2540501,23,lead_stubborn,0.3494898166749496,0.4302371480503864
38631,0.305,1.4426229508196722,0.22794859307359297,0.005007183094683096,200,61,387,63,2,42.7,229143,3154915,31,lead_stubborn,0.2689147210983604,0.7842712343444325
39044,0.29,1.9137931034482758,0.2256825396825397,0.004985220057720059,200,58,391,219,5,5.0,535070,6788045,44,lead_stubborn,0.3297294244236074,0.1851245903607699
37063,0.48,2.0104166666666665,0.44040187590187585,0.005543885836385836,200,96,371,552,7,5.0,569635,5077854,63,lead_stubborn,0.4714045721788255,0.7667985672256883
39791,0.34,1.9264705882352942,0.3172797619047619,0.005292499999999998,200,68,398,219,5,61.0,535070,6788045,91,lead_stubborn,0.3969614753991711,0.3291381696463736
37539,0.425,1.964705882352941,0.40193223443223447,0.0052623382173382196,200,85,376,552,7,29.9,569635,5077854,39,lead_stubborn,0.4790241755215713,0.6177321915239017
40145,0.3,1.6666666666666667,0.21598827561327558,0.004140626803751802,200,60,402,50,3,7.1,370910,2614782,45,lead_stubborn,0.2747520561924723,0.7307587255425585
40218,0.255,1.7450980392156863,0.1515305389055389,0.003988538588604378,200,51,403,50,3,10.2,370910,2614782,18,lead_stubborn,0.2312345941585266,0.3847746110331581
40534,0.345,1.6956521739130435,0.32977976190476194,0.005384107142857139,200,69,406,50,3,29.9,370910,2614782,34,lead_stubborn,0.4113840234518945,0.152863497296565
40866,0.395,1.7088607594936709,0.338640873015873,0.005205932539682538,200,79,409,50,3,87.4,370910,2614782,66,lead_stubborn,0.4409284566649496,0.3941260031346912
3962,0.415,1.6626506024096386,0.32996103896103895,0.004675126262626264,200,83,40,842,2,125.0,1031839,587281,62,lead_stubborn,0.3350709844137344,0.6247506884808997
39874,0.445,1.9887640449438202,0.4010277777777778,0.004990119047619049,200,89,399,219,5,87.4,535070,6788045,74,lead_stubborn,0.4831039344913304,0.9827660363748432
41183,0.185,1.6216216216216217,0.12052289377289377,0.004061452436452438,200,37,412,903,4,7.1,887509,2560879,83,lead_stubborn,0.2028601193675408,0.7764128459904844
41264,0.495,1.8585858585858586,0.45164880952380954,0.00543781746031746,200,99,413,903,4,10.2,887509,2560879,64,lead_stubborn,0.4895135847322587,0.8096004723526141
41532,0.42,1.9642857142857142,0.3724583333333334,0.005124900793650793,200,84,416,903,4,29.9,887509,2560879,32,lead_stubborn,0.4495856593533723,0.6338235473212548
41606,0.545,1.6972477064220184,0.5191250000000001,0.005900297619047618,200,109,417,903,4,42.7,887509,2560879,6,lead_stubborn,0.4911132375299709,0.252577974178488
421,0.33,1.5454545454545454,0.21147756410256405,0.004468822864227275,200,66,5,195,2,20.9,1117112,2763342,21,lead_stubborn,0.2397567210258474,0.5887702959721403
41912,0.335,1.9104477611940298,0.2863392857142857,0.005298928571428567,200,67,420,903,4,125.0,887509,2560879,12,lead_stubborn,0.3985108847427614,0.9637929216712549
42089,0.22,1.4772727272727273,0.1598154761904762,0.005701827200577202,200,44,421,811,5,5.0,353499,6626861,89,lead_stubborn,0.2129379249701362,0.6944582199785999
42151,0.145,1.6206896551724137,0.10337518037518034,0.004944106449106449,200,29,422,811,5,7.1,353499,6626861,51,lead_stubborn,0.2182850515748211,0.1730815279492411
42391,0.345,1.8405797101449275,0.29613873626373627,0.0050435027472527484,200,69,424,811,5,14.6,353499,6626861,91,lead_stubborn,0.3969614753991711,0.3291381696463736
43038,0.37,1.9054054054054055,0.30369101731601733,0.008813988095238093,200,74,431,392,6,5.0,69564,6474543,38,lead_stubborn,0.3509947337216052,0.8424701912520188
43335,0.49,1.7551020408163265,0.4533869047619048,0.007051210317460314,200,98,434,392,6,14.6,69564,6474543,35,lead_stubborn,0.444752781116749,0.3583252290098091
42457,0.23,1.7608695652173914,0.1316673534798535,0.004391195699725109,200,46,425,811,5,20.9,353499,6626861,57,lead_stubborn,0.2281547978409189,0.2464978385902064
44262,0.29,1.8620689655172413,0.24625732600732606,0.0051895063270063265,200,58,443,225,6,10.2,769787,2985363,62,lead_stubborn,0.3350709844137344,0.6247506884808997
43880,0.3,1.6166666666666667,0.2145299422799423,0.005264926046176045,200,60,439,392,6,87.4,69564,6474543,80,lead_stubborn,0.2816906079992455,0.4111680330999803
4309,0.205,1.5609756097560976,0.14834035409035407,0.003970840032001022,200,41,44,599,8,14.6,940127,5147543,9,lead_stubborn,0.2331676534838964,0.9471927912224244
43987,0.245,1.9795918367346939,0.1821314935064935,0.0043396506271506236,200,49,440,392,6,125.0,69564,6474543,87,lead_stubborn,0.3108669576156866,0.5798034448113424
44341,0.37,1.8108108108108107,0.31075595238095244,0.004704037114845937,200,74,444,225,6,14.6,769787,2985363,41,lead_stubborn,0.3883150820571905,0.5577479977483336
44480,0.215,1.8604651162790697,0.15656746031746033,0.004332760295260295,200,43,445,225,6,20.9,769787,2985363,80,lead_stubborn,0.2816906079992455,0.4111680330999803
