Parameter,Coefficient,Std_Error,z_statistic,p_value,Significance,Odds_Ratio,OR_CI_lower_95,OR_CI_upper_95
Intercept,-10.142195940405134,1.8691306672084973,-5.42615672533599,5.758040424538274e-08,***,3.9382226779385855e-05,1.0099348536448788e-06,0.0015357028035080922
Number of Nodes,2.645975163699971e-05,0.0008811154626309227,0.03002983463483155,0.9760432592975749,,1.0000264601016993,0.9983009502007775,1.0017549524543734
Node Degree,-9.088043676210738e-06,0.0034442543162391186,-0.002638609940433852,0.9978946963094932,,0.9999909119976199,0.9932630929392667,1.006764301609841
Propagation Delay,-2.3827352166147756e-07,2.5221376738799623e-05,-0.009447284505089148,0.9924622696772707,,0.9999997617265067,0.9999503299700265,1.000049195926607
Block Interval,-2.6566157397416718e-05,0.0007322979053039767,-0.03627780061229195,0.971060850830956,,0.9999734341954798,0.9985392242952552,1.0014097040628924
Max Block Size,0.00045052135474213644,0.10409327897227967,0.004328054214356255,0.9965467231452118,,1.0004506228547296,0.8158142730639498,1.2268741572899133
Attacker Hash Power,25.864171173820885,3.6177403596782858,7.149261307442446,8.724611122885628e-13,***,170870393584.85342,142311711.8252119,205160144793299.75
Tie-Breaking Parameter,0.03995483603067898,0.7879016499192317,0.05071043579458778,0.959556260788452,,1.0407637681080122,0.2221718669517647,4.87545626666385
