,sum_sq,df,F,PR(>F),eta_sq
num_nodes,0.0045899004446557255,1.0,0.15838238881685665,0.6908228237775874,5.3002506484851474e-05
node_degree,0.0005959090936909033,1.0,0.020562865559828624,0.8860349061355667,6.8813421954521576e-06
prop_delay,0.007571204088979463,1.0,0.26125738549051786,0.6094869163788248,8.742952023970702e-05
block_interval,0.010700221764451073,1.0,0.36922950821235034,0.5437049082363938,0.00012356228207956396
max_block_size,0.006731977583403451,1.0,0.23229843522258417,0.6300391126284973,7.7738436774957e-05
attacker_hp,72.3082507044198,1.0,2495.120235356907,8.051826273046098e-195,0.8349894672185515
tie_breaking,0.001265670974072685,1.0,0.04367414821887832,0.8345475310136233,1.4615509599796453e-05
Residual,14.258094196204429,492.0,,,0.16464730318407422
