Parameter,Selfish Mining,Lead-Stubborn Mining,Trail-Stubborn Mining,Combined Selfish + Lead-Stubborn,Combined Selfish + Trail-Stubborn
Number of Nodes,0.005300250648483149,0.005300250648483149,0.005300250648483149,0.005300250648483149,0.005300250648483149
Node Degree,0.0006881342195450925,0.0006881342195450925,0.0006881342195450925,0.0006881342195450925,0.0006881342195450925
Propagation Delay (ms),0.008742952023970081,0.008742952023970081,0.008742952023970081,0.008742952023970081,0.008742952023970081
Block Interval (s),0.01235622820795277,0.01235622820795277,0.01235622820795277,0.01235622820795277,0.01235622820795277
Max Block Size (MB),0.007773843677496191,0.007773843677496191,0.007773843677496191,0.007773843677496191,0.007773843677496191
Attacker Hash Power,83.49894672185515,83.49894672185515,83.49894672185515,83.49894672185515,83.49894672185515
Tie-Breaking Parameter γ,0.001461550959979311,0.001461550959979311,0.001461550959979311,0.001461550959979311,0.001461550959979311
