,count,mean,std,min,25%,50%,75%,max
Number of Nodes,500.0,509.994,283.17509465428793,22.0,266.5,510.5,754.5,999.0
Node Degree,500.0,117.042,70.58146869715091,1.0,55.75,112.0,176.25,250.0
Propagation Delay (ms),500.0,23249.562,9681.66982391543,6554.0,14884.25,23235.0,31628.0,39948.0
Block Interval (s),500.0,629.954,329.38926889765224,61.0,345.25,629.0,914.5,1200.0
Max Block Size (MB),500.0,4.124,2.267798452164407,0.0,2.0,4.0,6.0,8.0
Attacker Hash Power,500.0,0.5031338952005481,0.2744186385852852,0.0,0.34428581527109225,0.5505005979625998,0.724586346540062,0.899557214471941
Tie-Breaking Parameter γ,500.0,0.500043045090502,0.28898224512028375,0.0007168773480712955,0.25053489096450604,0.5003336533607258,0.7493078415584891,0.9985525094196163
success_prob,500.0,0.7010045407536157,0.4165523303717413,0.0,0.30370133154292633,1.0,1.0,1.0
