Parameter,F_statistic,p_value,Significance,eta_sq_pct
Attacker Hash Power,2495.1202353569065,8.051826273046098e-195,***,83.49894672185515
Block Interval (s),0.3692295082122419,0.5437049082364535,ns,0.01235622820795277
Propagation Delay (ms),0.26125738549049926,0.6094869163788248,ns,0.008742952023970081
Max Block Size (MB),0.23229843522259883,0.630039112628457,ns,0.007773843677496191
Number of Nodes,0.1583823888167969,0.6908228237776382,ns,0.005300250648483149
Tie-Breaking Parameter γ,0.04367414821886832,0.8345475310136233,ns,0.001461550959979311
Node Degree,0.020562865559824933,0.8860349061355667,ns,0.0006881342195450925
