Parameter,Coefficient,Std_Error,z_statistic,p_value,Significance,Odds_Ratio,OR_CI_lower_95,OR_CI_upper_95
Intercept,-10.142195940405115,1.8691306672084915,-5.426156725335996,5.758040424538071e-08,***,3.938222677938663e-05,1.009934853644911e-06,0.0015357028035081044
Number of Nodes,2.6459751637028766e-05,0.0008811154626309179,0.030029834634864694,0.9760432592975484,ns,1.0000264601016993,0.9983009502007775,1.0017549524543734
Node Degree,-9.088043676320676e-06,0.003444254316239113,-0.0026386099404657757,0.9978946963094678,ns,0.9999909119976198,0.9932630929392666,1.006764301609841
Propagation Delay (ms),-2.382735216615917e-07,2.5221376738799534e-05,-0.009447284505093707,0.992462269677267,ns,0.9999997617265067,0.9999503299700265,1.000049195926607
Block Interval (s),-2.656615739741184e-05,0.000732297905303976,-0.03627780061228532,0.9710608508309613,ns,0.9999734341954798,0.9985392242952552,1.0014097040628924
Max Block Size (MB),0.0004505213547406836,0.1040932789722795,0.004328054214342306,0.9965467231452229,ns,1.0004506228547283,0.8158142730639489,1.2268741572899111
Attacker Hash Power,25.86417117382088,3.617740359678274,7.149261307442467,8.724611122884268e-13,***,170870393584.8522,142311711.82521445,205160144793292.44
Tie-Breaking Parameter γ,0.03995483603068689,0.7879016499192305,0.0507104357945979,0.959556260788444,ns,1.0407637681080206,0.22217186695176702,4.875456266663877
