Parameter,Selfish Mining,Lead-Stubborn Mining,Trail-Stubborn Mining,Combined Selfish + Lead-Stubborn,Combined Selfish + Trail-Stubborn
Number of Nodes,1.0000264601016993,1.0000264601016993,1.0000264601016993,1.0000264601016993,1.0000264601016993
Node Degree,0.9999909119976198,0.9999909119976198,0.9999909119976198,0.9999909119976198,0.9999909119976198
Propagation Delay (ms),0.9999997617265067,0.9999997617265067,0.9999997617265067,0.9999997617265067,0.9999997617265067
Block Interval (s),0.9999734341954798,0.9999734341954798,0.9999734341954798,0.9999734341954798,0.9999734341954798
Max Block Size (MB),1.0004506228547283,1.0004506228547283,1.0004506228547283,1.0004506228547283,1.0004506228547283
Attacker Hash Power,170870393584.8522,170870393584.8522,170870393584.8522,170870393584.8522,170870393584.8522
Tie-Breaking Parameter γ,1.0407637681080206,1.0407637681080206,1.0407637681080206,1.0407637681080206,1.0407637681080206
