,sum_sq,df,F,PR(>F),eta_sq
num_nodes,0.004589900444653994,1.0,0.1583823888167969,0.6908228237776382,5.300250648483149e-05
node_degree,0.0005959090936907964,1.0,0.020562865559824933,0.8860349061355667,6.881342195450924e-06
prop_delay,0.007571204088978925,1.0,0.26125738549049926,0.6094869163788248,8.742952023970081e-05
block_interval,0.01070022176444793,1.0,0.3692295082122419,0.5437049082364535,0.0001235622820795277
max_block_size,0.006731977583403875,1.0,0.23229843522259883,0.630039112628457,7.773843677496191e-05
attacker_hp,72.30825070441979,1.0,2495.1202353569065,8.051826273046098e-195,0.8349894672185515
tie_breaking,0.0012656709740723952,1.0,0.04367414821886832,0.8345475310136233,1.4615509599793109e-05
Residual,14.258094196204429,492.0,,,0.16464730318407425
