Strategy,n,Mean DSP,Std DSP,Attack Success Rate (%),McFadden R²,ANOVA R²
Selfish Mining,500,0.7010045407536157,0.4165523303717413,85.0,0.8546230275408894,0.8353526968159257
Lead-Stubborn Mining,500,0.7010045407536157,0.4165523303717413,85.0,0.8546230275408894,0.8353526968159257
Trail-Stubborn Mining,500,0.7010045407536157,0.4165523303717413,85.0,0.8546230275408894,0.8353526968159257
Combined Selfish + Lead-Stubborn,500,0.7010045407536157,0.4165523303717413,85.0,0.8546230275408894,0.8353526968159257
Combined Selfish + Trail-Stubborn,500,0.7010045407536157,0.4165523303717413,85.0,0.8546230275408894,0.8353526968159257
