Parameter,F_statistic,p_value,Significance,Mean_DSP_Low,N_Low,Mean_DSP_Medium,N_Medium,Mean_DSP_High,N_High
Number of Nodes,0.11297972368357462,0.8931917026431258,ns,0.708853392770574,167,0.6885710170812502,166,0.705514760171464,167
Node Degree,0.13405352502724768,0.8745748640238357,ns,0.7031187079382732,171,0.6880351758093062,163,0.711561672665339,166
Propagation Delay (ms),0.33826580236382114,0.7131697686576426,ns,0.6913361042624533,167,0.7227284687898017,166,0.6890791326100065,167
Block Interval (s),0.06461755779850843,0.9374337802901587,ns,0.6933737456686448,167,0.7097191415938113,166,0.6999729182369552,167
Max Block Size (MB),0.08113921854459799,0.9220775255940254,ns,0.6981917860470217,210,0.7134961192349198,129,0.6946645709666377,161
Attacker Hash Power,1971.0957380471027,4.892704003363853e-237,***,0.1478136330262743,167,0.9567312871169884,166,1.0,167
Tie-Breaking Parameter γ,0.016101036995722726,0.9840284050736177,ns,0.7006375509828966,167,0.6970842748116578,166,0.705268321819934,167
