system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i,Dbar_plus_i,Dbar_plus_i_ci_low,Dbar_plus_i_ci_high,V_reorg_i
1818,736,4,61.0,514199,4710516,1,0.3,,,1.7804878048780488,0.365,2.0166666666666666,,,0.605
1823,374,7,10.2,1155673,6010507,1,0.535,,,1.9365079365079365,0.61,2.0,,,1.07
1825,374,7,20.9,1155673,6010507,1,0.41,,,2.046511627906977,0.44,2.0,,,0.82
1827,374,7,42.7,1155673,6010507,1,0.61,,,1.8611111111111112,0.67,2.0,,,1.22
1832,364,4,7.1,200318,2192063,1,0.31,,,1.8372093023255813,0.395,2.0,,,0.62
1833,364,4,10.2,200318,2192063,1,0.385,,,1.725,0.345,2.0,,,0.77
1839,364,4,87.4,200318,2192063,1,0.71,,,2.1058823529411765,0.895,2.0140845070422535,,,1.43
1840,364,4,125.0,200318,2192063,1,0.66,,,1.88,0.705,2.007575757575758,,,1.325
1841,571,6,5.0,1058443,3020113,1,0.585,,,2.112676056338028,0.75,2.0,,,1.17
1843,571,6,10.2,1058443,3020113,1,0.565,,,2.0294117647058822,0.69,2.0088495575221237,,,1.1349999999999998
1844,571,6,14.6,1058443,3020113,1,0.695,,,1.967741935483871,0.915,2.0,,,1.39
1851,411,7,5.0,179544,6266571,1,0.62,,,2.013888888888889,0.725,2.0,,,1.24
1854,411,7,14.6,179544,6266571,1,0.59,,,1.8082191780821917,0.66,2.0084745762711864,,,1.185
1855,411,7,20.9,179544,6266571,1,0.59,,,1.7678571428571428,0.495,2.0,,,1.18
1856,411,7,29.9,179544,6266571,1,0.335,,,1.8,0.45,2.0,,,0.67
1858,411,7,61.0,179544,6266571,1,0.555,,,2.0701754385964914,0.5900000000000001,2.0,,,1.11
1859,411,7,87.4,179544,6266571,1,0.18,,,1.6956521739130435,0.195,2.0,,,0.36
1860,411,7,125.0,179544,6266571,1,0.69,,,1.9204545454545454,0.845,2.0072463768115942,,,1.385
1877,174,3,42.7,434845,4955019,1,0.58,,,1.6029411764705883,0.545,2.0172413793103448,,,1.17
1884,517,2,14.6,532901,1432144,1,0.385,,,1.5263157894736843,0.435,2.0259740259740258,,,0.7799999999999998
1886,517,2,29.9,532901,1432144,1,0.345,,,1.4150943396226414,0.375,2.0,,,0.69
1887,517,2,42.7,532901,1432144,1,0.76,,,1.4848484848484849,0.735,2.0065789473684212,,,1.525
1890,517,2,125.0,532901,1432144,1,0.67,,,1.646341463414634,0.675,2.0,,,1.34
1893,996,8,10.2,366934,5387618,1,0.27,,,1.7567567567567568,0.325,2.0,,,0.54
1900,996,8,125.0,366934,5387618,1,0.39,,,1.8333333333333333,0.44,2.0,,,0.78
1901,187,2,5.0,843589,1052878,1,0.745,,,1.5888888888888888,0.715,2.0134228187919465,,,1.5000000000000002
1903,187,2,10.2,843589,1052878,1,0.645,,,1.5076923076923077,0.49,2.0,,,1.29
1904,187,2,14.6,843589,1052878,1,0.58,,,1.5972222222222223,0.575,2.0,,,1.16
1906,187,2,29.9,843589,1052878,1,0.67,,,1.6829268292682926,0.69,2.0,,,1.34
1908,187,2,61.0,843589,1052878,1,0.67,,,1.92,0.72,2.0,,,1.34
1909,187,2,87.4,843589,1052878,1,0.44,,,1.7678571428571428,0.495,2.0,,,0.88
1910,187,2,125.0,843589,1052878,1,0.64,,,1.8055555555555556,0.65,2.0,,,1.28
1911,732,3,5.0,173782,4804568,1,0.385,,,1.7222222222222223,0.465,2.0,,,0.77
1914,732,3,14.6,173782,4804568,1,0.595,,,1.7857142857142858,0.625,2.0,,,1.19
1916,732,3,29.9,173782,4804568,1,0.445,,,1.896551724137931,0.55,2.0,,,0.89
1918,732,3,61.0,173782,4804568,1,0.55,,,2.176470588235294,0.74,2.0090909090909093,,,1.1050000000000002
1931,178,4,5.0,488054,4844989,1,0.575,,,2.0161290322580645,0.625,2.008695652173913,,,1.155
1935,178,4,20.9,488054,4844989,1,0.635,,,2.2278481012658227,0.88,2.0078740157480315,,,1.275
1936,178,4,29.9,488054,4844989,1,0.57,,,2.0655737704918034,0.63,2.008771929824561,,,1.1449999999999998
1937,178,4,42.7,488054,4844989,1,0.53,,,2.076923076923077,0.675,2.0,,,1.06
1940,178,4,125.0,488054,4844989,1,0.54,,,2.0185185185185186,0.545,2.0185185185185186,,,1.09
1942,491,6,7.1,927779,6224225,1,0.535,,,2.017857142857143,0.565,2.0,,,1.07
1944,491,6,14.6,927779,6224225,1,0.55,,,1.9841269841269842,0.625,2.0090909090909093,,,1.1050000000000002
