round,newCanonicalTipHeight,commonAncestorHeight,oldCanonicalTipHeights,replacingChainBlocks
107,22,20,21,21:16|22:3
107,23,21,22,22:18|23:1
107,23,21,22;22,22:18|23:1
107,25,23,24,24:19|25:20
108,5,3,4;4,4:0|5:1
108,7,5,6,6:2|7:3
108,7,5,6,6:2|7:4
108,8,6,7,7:3|8:5
108,8,6,7,7:4|8:6
108,9,6,8,7:4|8:6|9:6
108,11,9,10;10,10:7|11:8
108,13,11,12,12:9|13:10
108,13,11,12,12:9|13:11
108,13,11,12,12:9|13:6
108,14,12,13,13:11|14:11
108,13,11,12,12:9|13:4
108,14,12,13,13:6|14:6
108,14,12,13;13,13:11|14:11
108,14,12,13;13,13:4|14:4
108,14,12,13,13:4|14:4
108,14,12,13;13,13:6|14:6
108,15,12,14,13:6|14:6|15:6
108,15,12,14,13:11|14:11|15:11
108,15,12,14;14,13:11|14:11|15:11
108,16,12,15,13:11|14:11|15:11|16:12
108,16,12,15,13:6|14:6|15:6|16:13
108,17,12,16,13:11|14:11|15:11|16:12|17:14
108,17,12,16,13:6|14:6|15:6|16:13|17:11
108,18,12,17,13:11|14:11|15:11|16:12|17:14|18:15
108,21,19,20;20,20:16|21:17
108,21,19,20;20;20,20:16|21:17
108,25,23,24,24:18|25:15
109,4,2,3,3:0|4:0
109,4,2,3;3,3:0|4:0
109,6,4,5,5:1|6:2
109,6,4,5,5:3|6:4
109,7,4,6,5:1|6:2|7:5
109,10,8,9;9;9,9:6|10:7
109,10,8,9;9;9,9:0|10:3
109,11,8,10,9:6|10:7|11:8
109,11,8,10,9:0|10:3|11:4
109,12,8,11,9:6|10:7|11:8|12:9
109,14,12,13;13,13:10|14:11
109,14,12,13;13,13:10|14:12
109,15,13,14,14:11|15:9
109,20,18,19,19:3|20:3
109,20,18,19;19,19:3|20:3
109,22,20,21,21:3|22:13
109,24,22,23,23:8|24:14
110,7,5,6,6:0|7:1
110,7,5,6,6:2|7:2
110,7,5,6,6:2|7:3
110,8,5,7,6:2|7:3|8:3
110,8,5,7;7,6:2|7:3|8:3
110,10,8,9,9:4|10:5
110,12,10,11,11:6|12:7
110,14,12,13,13:8|14:9
110,15,13,14,14:9|15:10
110,21,19,20,20:11|21:0
110,23,21,22,22:12|23:13
111,4,2,3,3:0|4:1
111,4,2,3;3,3:0|4:1
111,15,13,14,14:2|15:2
111,15,13,14;14,14:2|15:2
111,15,13,14;14;14,14:2|15:2
111,15,13,14;14;14;14,14:2|15:2
111,18,16,17,17:2|18:2
111,18,16,17;17,17:2|18:2
111,20,18,19,19:3|20:4
111,20,18,19,19:2|20:0
111,21,18,20,19:3|20:4|21:5
111,21,18,20,19:2|20:0|21:0
111,22,18,21,19:3|20:4|21:5|22:6
111,22,18,21,19:2|20:0|21:0|22:0
111,23,18,22,19:3|20:4|21:5|22:6|23:7
111,23,18,22,19:2|20:0|21:0|22:0|23:0
111,24,18,23,19:3|20:4|21:5|22:6|23:7|24:7
112,7,5,6;6;6,6:0|7:0
112,7,5,6;6,6:0|7:0
112,7,5,6,6:0|7:0
112,11,9,10,10:1|11:2
112,13,11,12,12:3|13:4
112,13,11,12;12,12:3|13:4
112,16,14,15;15,15:5|16:6
112,16,14,15;15,15:7|16:8
112,17,14,16,15:5|16:6|17:1
112,19,17,18,18:9|19:8
112,21,19,20,20:8|21:8
112,22,19,21,20:10|21:11|22:12
112,22,19,21,20:8|21:8|22:8
112,23,19,22,20:10|21:11|22:12|23:13
113,4,2,3,3:0|4:1
113,4,2,3,3:2|4:2
113,4,2,3,3:2|4:3
113,5,2,4,3:2|4:3|5:3
113,5,2,4;4,3:2|4:3|5:3
113,7,5,6,6:4|7:5
113,7,5,6,6:4|7:6
113,8,6,7,7:5|8:7
113,10,8,9,9:8|10:9
113,14,12,13,13:10|14:5
113,17,15,16,16:11|17:11
113,22,20,21,21:11|22:12
114,3,1,2;2,2:0|3:1
114,6,4,5;5,5:2|6:3
114,9,7,8,8:4|9:4
114,11,9,10,10:5|11:6
114,11,9,10;10,10:5|11:6
114,13,11,12,12:7|13:8
114,15,13,14;14,14:9|15:9
114,15,13,14;14;14,14:9|15:9
114,20,18,19,19:10|20:3
114,24,22,23,23:11|24:12
115,3,1,2;2,2:0|3:1
115,3,1,2;2,2:2|3:3
115,4,1,3,2:0|3:1|4:4
115,4,1,3,2:0|3:1|4:5
115,4,1,3,2:0|3:1|4:2
115,5,3,4;4,4:2|5:2
115,5,3,4,4:2|5:2
115,5,3,4,4:4|5:3
115,6,3,5,4:2|5:2|6:2
115,11,9,10;10,10:6|11:7
115,14,12,13;13,13:8|14:9
115,18,16,17,17:10|18:11
115,20,18,19,19:12|20:13
116,3,1,2,2:0|3:1
116,3,1,2,2:0|3:2
116,4,2,3,3:1|4:3
116,4,2,3,3:2|4:2
116,5,2,4,3:1|4:3|5:4
116,7,5,6;6,6:5|7:5
116,11,9,10;10,10:6|11:7
116,11,9,10;10,10:6|11:8
116,11,9,10;10,10:6|11:9
116,11,9,10;10,10:6|11:5
116,12,10,11;11;11,11:7|12:10
116,12,10,11;11;11,11:8|12:2
116,13,10,12,11:7|12:10|13:11
116,13,10,12,11:7|12:10|13:12
116,13,10,12,11:7|12:10|13:5
116,13,10,12,11:8|12:2|13:2
116,14,10,13,11:8|12:2|13:2|14:2
116,14,10,13;13,11:8|12:2|13:2|14:2
116,14,10,13;13;13,11:8|12:2|13:2|14:2
116,19,17,18;18,18:13|19:14
116,23,21,22,22:6|23:15
117,9,7,8,8:0|9:1
117,12,10,11,11:2|12:2
117,16,14,15,15:3|16:4
117,18,16,17,17:5|18:6
117,23,21,22,22:7|23:8
117,23,21,22,22:2|23:2
118,3,1,2,2:0|3:0
118,3,1,2;2,2:0|3:0
118,3,1,2,2:1|3:1
118,3,1,2;2,2:1|3:1
118,3,1,2;2;2,2:1|3:1
118,4,1,3,2:0|3:0|4:2
118,4,1,3,2:0|3:0|4:0
118,5,3,4,4:0|5:0
118,7,5,6,6:0|7:0
118,9,7,8,8:2|9:3
118,12,10,11,11:4|12:5
118,12,10,11,11:4|12:0
118,12,10,11,11:4|12:6
118,12,10,11,11:4|12:1
118,13,11,12;12;12,12:5|13:7
118,15,13,14,14:0|15:0
118,18,16,17,17:8|18:9
118,21,19,20;20,20:10|21:11
118,24,22,23,23:12|24:13
118,24,22,23,23:12|24:14
119,3,1,2;2;2,2:0|3:1
119,3,1,2;2;2,2:2|3:3
119,4,1,3,2:0|3:1|4:4
119,7,5,6,6:5|7:5
119,7,5,6;6,6:5|7:5
119,7,5,6;6;6,6:5|7:5
119,12,10,11,11:6|12:7
119,14,12,13;13,13:8|14:9
119,14,12,13;13,13:8|14:2
119,15,13,14,14:2|15:2
119,16,13,15,14:9|15:10|16:11
119,19,17,18;18,18:12|19:13
119,19,17,18;18,18:14|19:2
119,20,17,19,18:12|19:13|20:15
120,3,1,2,2:0|3:1
120,3,1,2,2:2|3:2
120,4,1,3,2:0|3:1|4:3
120,7,5,6,6:3|7:4
120,7,5,6,6:3|7:5
120,8,6,7,7:5|8:5
120,12,10,11,11:6|12:7
120,14,12,13;13;13;13,13:8|14:9
120,22,20,21,21:5|22:5
120,22,20,21;21,21:5|22:5
121,7,5,6,6:0|7:1
121,7,5,6,6:2|7:2
121,8,5,7,6:2|7:2|8:2
121,7,5,6,6:2|7:3
121,8,5,7;7,6:2|7:2|8:2
121,10,8,9,9:4|10:5
121,13,11,12,12:6|13:7
121,16,14,15;15;15,15:8|16:9
121,16,14,15;15;15,15:8|16:10
121,17,15,16,16:10|17:11
121,23,21,22,22:12|23:13
121,25,23,24,24:14|25:11
122,3,1,2;2,2:0|3:1
122,5,3,4;4,4:2|5:3
122,8,6,7;7;7,7:1|8:4
122,13,11,12,12:5|13:6
122,18,16,17,17:7|18:7
122,18,16,17;17,17:7|18:7
122,21,19,20,20:8|21:9
122,21,19,20,20:8|21:10
122,21,19,20,20:11|21:11
122,22,19,21;21,20:8|21:10|22:12
122,24,22,23,23:2|24:13
122,24,22,23,23:11|24:11
122,25,22,24,23:2|24:13|25:14
123,5,3,4,4:0|5:1
123,5,3,4,4:0|5:2
123,6,4,5,5:1|6:3
123,6,4,5,5:1|6:4
123,6,4,5,5:1|6:5
123,6,4,5,5:2|6:2
123,7,4,6;6;6,5:1|6:3|7:6
123,14,12,13;13,13:7|14:8
123,17,15,16,16:9|17:10
123,17,15,16,16:9|17:4
123,18,16,17,17:4|18:4
123,20,18,19,19:11|20:12
123,24,22,23,23:5|24:5
123,24,22,23;23,23:5|24:5
123,24,22,23;23;23,23:5|24:5
124,4,2,3,3:0|4:1
124,6,4,5,5:2|6:3
124,8,6,7,7:4|8:4
124,8,6,7;7,7:4|8:4
124,8,6,7;7;7,7:4|8:4
124,8,6,7;7,7:5|8:6
124,9,6,8,7:4|8:4|9:4
124,11,9,10,10:7|11:8
124,19,17,18,18:4|19:4
124,22,20,21,21:9|22:10
124,22,20,21,21:11|22:11
124,22,20,21,21:11|22:12
124,23,20,22,21:11|22:12|23:12
124,23,20,22;22,21:11|22:12|23:12
124,25,23,24,24:13|25:14
125,3,1,2,2:0|3:1
125,5,3,4,4:2|5:3
125,7,5,6;6,6:1|7:4
125,7,5,6;6,6:5|7:5
125,8,5,7,6:1|7:4|8:6
125,8,5,7,6:1|7:4|8:7
125,8,5,7,6:1|7:4|8:8
125,9,7,8;8,8:6|9:9
125,9,7,8;8,8:8|9:5
125,10,7,9,8:6|9:9|10:10
125,10,7,9,8:8|9:5|10:5
125,10,7,9,8:8|9:5|10:11
125,11,7,10;10,8:6|9:9|10:10|11:3
125,11,7,10;10,8:8|9:5|10:11|11:8
125,11,7,10;10,8:8|9:5|10:11|11:7
125,12,7,11;11,8:6|9:9|10:10|11:3|12:12
125,15,13,14,14:8|15:8
125,17,15,16,16:13|17:12
125,18,16,17,17:12|18:14
125,23,21,22;22;22,22:15|23:16
125,23,21,22;22;22,22:7|23:11
125,24,21,23,22:15|23:16|24:17
126,4,2,3,3:0|4:1
126,4,2,3,3:2|4:3
126,4,2,3,3:2|4:4
126,5,2,4;4,3:0|4:1|5:5
126,5,2,4;4,3:0|4:1|5:6
126,5,2,4;4,3:2|4:4|5:4
126,6,2,5;5,3:0|4:1|5:6|6:7
126,6,2,5;5,3:0|4:1|5:5|6:4
126,6,2,5;5,3:0|4:1|5:5|6:8
126,7,4,6;6,5:6|6:7|7:9
126,9,7,8,8:10|9:11
126,12,10,11,11:12|12:13
126,12,10,11,11:2|12:2
126,13,10,12,11:12|12:13|13:14
126,13,10,12,11:2|12:2|13:2
126,13,10,12,11:12|12:13|13:8
126,14,10,13;13,11:12|12:13|13:14|14:15
126,17,15,16;16,16:16|17:17
126,19,17,18;18,18:18|19:13
126,23,21,22,22:18|23:19
126,23,21,22,22:3|23:8
127,4,2,3,3:0|4:1
127,4,2,3,3:0|4:2
127,4,2,3,3:0|4:3
127,5,3,4;4,4:1|5:4
127,7,5,6;6,6:5|7:6
127,7,5,6;6,6:5|7:3
127,8,6,7,7:6|8:7
127,13,11,12,12:2|13:2
127,15,13,14,14:8|15:1
127,20,18,19,19:9|20:6
128,3,1,2,2:0|3:1
128,3,1,2,2:0|3:2
128,4,2,3,3:1|4:3
128,8,6,7;7,7:4|8:5
128,13,11,12,12:6|13:7
128,13,11,12,12:6|13:8
128,13,11,12,12:6|13:2
128,14,12,13;13,13:7|14:9
128,17,15,16,16:10|17:11
128,17,15,16,16:10|17:12
128,17,15,16,16:10|17:2
128,18,16,17;17,17:11|18:13
128,18,16,17;17,17:11|18:8
128,19,17,18,18:13|19:14
128,19,17,18,18:8|19:2
128,19,17,18,18:8|19:15
128,19,17,18,18:13|19:16
128,20,17,19,18:8|19:2|20:2
128,20,17,19;19;19,18:8|19:2|20:2
128,20,17,19;19,18:8|19:2|20:2
128,22,20,21,21:17|22:2
128,22,20,21;21,21:17|22:2
129,7,5,6,6:0|7:0
129,8,5,7,6:1|7:2|8:3
129,12,10,11,11:4|12:5
129,12,10,11,11:6|12:6
129,13,10,12,11:6|12:6|13:6
129,15,13,14;14,14:7|15:8
129,20,18,19;19,19:3|20:9
129,20,18,19;19,19:10|20:6
129,21,18,20,19:3|20:9|21:11
129,21,18,20,19:3|20:9|21:0
129,21,18,20,19:10|20:6|21:6
129,22,18,21;21,19:10|20:6|21:6|22:12
129,25,23,24,24:13|25:14
130,4,2,3,3:0|4:1
130,4,2,3,3:2|4:3
130,5,2,4,3:0|4:1|5:4
130,5,2,4,3:0|4:1|5:5
130,6,4,5,5:4|6:6
130,9,7,8,8:7|9:8
130,14,12,13,13:9|14:10
130,14,12,13;13,13:9|14:10
130,19,17,18,18:5|19:5
130,19,17,18;18,18:5|19:5
130,21,19,20,20:11|21:12
130,23,21,22;22,22:13|23:14
130,25,23,24,24:15|25:6
131,5,3,4,4:0|5:1
131,7,5,6;6,6:2|7:2
131,7,5,6,6:2|7:2
131,10,8,9,9:3|10:4
131,14,12,13;13,13:5|14:6
131,14,12,13;13,13:2|14:2
131,15,12,14,13:2|14:2|15:7
132,5,3,4;4;4,4:0|5:1
132,5,3,4;4;4,4:2|5:3
132,5,3,4;4;4,4:2|5:4
132,6,3,5;5,4:0|5:1|6:5
132,10,8,9,9:1|10:6
132,10,8,9,9:7|10:4
132,11,8,10,9:1|10:6|11:0
132,13,11,12,12:8|13:9
132,13,11,12,12:8|13:4
132,13,11,12,12:3|13:10
132,14,11,13,12:3|13:10|14:10
132,14,11,13;13,12:3|13:10|14:10
132,17,15,16,16:11|17:12
132,19,17,18,18:13|19:1
132,19,17,18,18:13|19:10
132,20,18,19,19:1|20:14
132,22,20,21,21:4|22:4
132,22,20,21;21,21:4|22:4
133,8,6,7,7:0|8:0
133,8,6,7;7,7:0|8:0
133,8,6,7;7;7,7:0|8:0
133,10,8,9,9:1|10:2
133,12,10,11,11:3|12:4
133,12,10,11,11:3|12:5
133,13,11,12,12:4|13:6
133,16,14,15,15:5|16:5
133,16,14,15;15,15:5|16:5
133,19,17,18,18:7|19:8
133,23,21,22;22,22:9|23:10
133,23,21,22,22:9|23:10
134,5,3,4,4:0|5:1
134,7,5,6,6:2|7:3
134,9,7,8,8:4|9:2
134,11,9,10,10:5|11:6
134,14,12,13,13:7|14:7
134,14,12,13;13,13:7|14:7
134,19,17,18,18:8|19:9
134,21,19,20,20:10|21:2
135,4,2,3,3:0|4:1
135,4,2,3,3:2|4:3
135,5,2,4,3:0|4:1|5:4
135,9,7,8,8:5|9:6
135,11,9,10,10:7|11:3
135,13,11,12;12,12:8|13:9
135,17,15,16,16:2|17:2
136,3,1,2,2:0|3:1
136,5,3,4,4:2|5:2
136,5,3,4,4:3|5:4
136,6,3,5,4:2|5:2|6:5
136,6,3,5,4:3|5:4|6:6
136,6,3,5,4:3|5:4|6:3
136,7,3,6;6,4:2|5:2|6:5|7:7
136,10,8,9;9,9:8|10:9
136,10,8,9;9,9:6|10:10
136,11,8,10,9:8|10:9|11:11
136,13,11,12,12:12|13:13
136,13,11,12,12:12|13:6
136,14,12,13,13:13|14:0
136,18,16,17,17:14|18:15
136,18,16,17;17,17:14|18:15
136,21,19,20;20;20,20:16|21:17
136,23,21,22,22:18|23:19
136,25,23,24,24:20|25:21
137,6,4,5;5,5:0|6:1
137,8,6,7,7:2|8:3
137,8,6,7,7:2|8:4
137,9,7,8,8:3|9:5
137,9,7,8,8:4|9:6
137,9,7,8,8:4|9:7
137,10,7,9;9,8:3|9:5|10:8
137,10,7,9;9,8:3|9:5|10:9
137,10,7,9;9,8:3|9:5|10:6
137,10,7,9;9,8:3|9:5|10:7
137,11,9,10;10;10,10:8|11:10
137,13,11,12,12:11|13:12
137,18,16,17,17:5|18:13
137,18,16,17,17:4|18:6
137,19,16,18,17:5|18:13|19:14
137,19,16,18,17:5|18:13|19:4
137,19,16,18,17:5|18:13|19:7
137,20,18,19,19:14|20:15
137,20,18,19;19,19:14|20:15
137,22,20,21,21:16|22:17
137,25,23,24,24:18|25:19
138,3,1,2,2:0|3:0
138,3,1,2;2,2:0|3:0
138,3,1,2;2;2,2:0|3:0
138,5,3,4,4:0|5:0
138,6,3,5,4:1|5:2|6:3
138,8,6,7,7:4|8:5
138,8,6,7,7:4|8:6
138,8,6,7,7:7|8:7
138,8,6,7,7:4|8:0
138,9,6,8;8;8,7:4|8:5|9:8
138,12,10,11,11:9|12:10
138,15,13,14;14,14:11|15:12
138,17,15,16;16,16:13|17:14
138,17,15,16;16,16:13|17:15
138,17,15,16;16,16:13|17:16
138,18,16,17;17,17:15|18:17
138,20,18,19;19,19:18|20:19
138,23,21,22,22:7|23:7
138,23,21,22,22:6|23:6
138,23,21,22;22,22:6|23:6
138,23,21,22;22,22:7|23:7
138,23,21,22,22:20|23:21
138,23,21,22;22;22,22:6|23:6
138,24,21,23,22:7|23:7|24:7
138,24,21,23;23,22:7|23:7|24:7
139,7,5,6,6:0|7:1
139,7,5,6,6:0|7:2
139,8,6,7,7:1|8:3
139,8,6,7,7:1|8:4
139,9,7,8,8:4|9:5
139,9,7,8,8:4|9:6
139,10,8,9,9:5|10:2
139,13,11,12,12:7|13:2
139,15,13,14,14:8|15:8
139,17,15,16,16:9|17:10
139,17,15,16;16,16:9|17:10
139,19,17,18,18:11|19:12
139,21,19,20,20:8|21:8
139,21,19,20;20,20:8|21:8
139,21,19,20;20;20,20:8|21:8
139,24,22,23,23:12|24:13
139,24,22,23,23:14|24:6
139,25,22,24,23:12|24:13|25:11
140,3,1,2,2:0|3:0
140,3,1,2;2,2:0|3:0
140,5,3,4,4:1|5:2
140,5,3,4;4,4:1|5:3
140,5,3,4;4,4:1|5:2
140,5,3,4;4,4:4|5:0
140,6,3,5;5,4:1|5:3|6:5
140,6,3,5;5,4:1|5:2|6:2
140,7,4,6,5:3|6:5|7:6
140,11,9,10,10:7|11:8
140,15,13,14;14,14:9|15:10
140,15,13,14;14,14:4|15:0
140,15,13,14;14,14:4|15:11
140,15,13,14;14,14:4|15:2
140,16,13,15,14:4|15:11|16:11
140,15,13,14;14,14:4|15:4
140,16,13,15;15,14:4|15:11|16:11
140,16,14,15,15:11|16:11
140,16,13,15;15;15,14:4|15:11|16:11
140,16,13,15;15;15;15,14:4|15:11|16:11
140,24,22,23,23:1|24:12
141,3,1,2,2:0|3:1
141,7,5,6,6:2|7:3
141,13,11,12,12:4|13:5
141,13,11,12,12:6|13:7
141,14,11,13,12:4|13:5|14:8
141,16,14,15,15:9|16:9
141,16,14,15;15,15:9|16:9
141,18,16,17,17:4|18:10
141,20,18,19,19:11|20:11
141,24,22,23;23,23:12|24:13
142,3,1,2;2,2:0|3:1
142,3,1,2;2,2:0|3:2
142,4,2,3,3:1|4:3
142,4,2,3,3:1|4:4
142,5,3,4,4:3|5:5
142,5,3,4,4:3|5:6
142,6,4,5,5:5|6:7
142,8,6,7;7,7:8|8:9
142,10,8,9;9,9:10|10:11
142,10,8,9;9,9:10|10:4
142,11,9,10,10:11|11:5
142,13,11,12,12:12|13:13
142,13,11,12;12,12:12|13:13
142,15,13,14,14:14|15:14
142,15,13,14;14,14:14|15:14
142,18,16,17,17:15|18:16
142,20,18,19,19:17|20:18
142,22,20,21;21,21:19|22:16
142,22,20,21;21,21:2|22:2
142,23,20,22,21:19|22:16|23:20
142,23,20,22,21:19|22:16|23:14
142,24,22,23,23:20|24:21
142,24,22,23,23:20|24:22
142,24,22,23,23:20|24:2
142,25,23,24;24,24:21|25:17
143,3,1,2,2:0|3:1
143,3,1,2,2:2|3:3
143,4,1,3,2:0|3:1|4:4
143,4,1,3,2:0|3:1|4:2
143,4,1,3,2:0|3:1|4:5
143,5,3,4,4:2|5:2
143,5,3,4;4,4:2|5:2
143,6,3,5,4:4|5:6|6:7
143,8,6,7,7:8|8:9
143,12,10,11;11,11:10|12:11
143,18,16,17,17:12|18:13
143,18,16,17,17:12|18:2
143,19,17,18,18:13|19:14
143,19,17,18,18:2|19:5
143,20,17,19,18:13|19:14|20:15
143,20,17,19,18:13|19:14|20:6
143,21,19,20,20:15|21:1
143,24,22,23,23:11|24:10
144,3,1,2,2:0|3:1
144,5,3,4,4:2|5:3
144,7,5,6,6:4|7:5
144,7,5,6,6:6|7:7
144,7,5,6,6:6|7:6
144,8,5,7;7,6:4|7:5|8:8
144,8,5,7;7,6:4|7:5|8:6
144,9,7,8,8:8|9:9
144,11,9,10,10:10|11:11
144,13,11,12,12:12|13:13
144,13,11,12,12:12|13:14
144,13,11,12,12:12|13:15
144,13,11,12,12:12|13:6
144,14,12,13;13;13,13:13|14:16
144,16,14,15,15:1|16:17
144,18,16,17,17:14|18:14
144,20,18,19;19;19,19:18|20:19
144,23,21,22,22:20|23:21
144,23,21,22,22:6|23:14
144,23,21,22,22:6|23:15
144,24,21,23;23,22:20|23:21|24:22
144,24,21,23;23,22:6|23:15|24:7
145,7,5,6,6:0|7:1
145,10,8,9,9:2|10:3
145,10,8,9,9:2|10:4
145,11,9,10,10:4|11:4
145,12,9,11,10:3|11:5|12:6
145,14,12,13;13,13:7|14:8
145,14,12,13;13,13:9|14:9
145,15,12,14,13:7|14:8|15:10
145,17,15,16,16:11|17:12
145,20,18,19,19:5|20:13
145,20,18,19,19:5|20:14
145,21,19,20,20:13|21:15
145,24,22,23,23:3|24:16
146,4,2,3,3:0|4:1
146,8,6,7,7:2|8:0
146,10,8,9,9:3|10:4
146,10,8,9;9,9:3|10:4
146,14,12,13,13:5|14:5
146,14,12,13;13,13:5|14:5
146,16,14,15;15,15:6|16:7
146,18,16,17,17:8|18:9
146,18,16,17,17:8|18:10
146,18,16,17,17:11|18:11
146,19,16,18;18,17:11|18:11|19:11
146,19,16,18,17:11|18:11|19:11
146,25,23,24,24:12|25:13
147,4,2,3,3:0|4:1
147,6,4,5,5:2|6:3
147,11,9,10,10:4|11:5
147,13,11,12,12:6|13:6
147,14,11,13,12:7|13:7|14:7
147,13,11,12,12:7|13:7
147,13,11,12;12,12:6|13:6
147,15,11,14,12:7|13:7|14:7|15:8
147,18,16,17;17,17:9|18:10
147,18,16,17;17,17:6|18:7
147,18,16,17;17,17:9|18:6
147,18,16,17;17,17:6|18:11
147,19,17,18,18:6|19:6
147,19,16,18;18,17:9|18:6|19:6
147,19,16,18;18;18,17:9|18:6|19:6
147,21,19,20,20:3|21:12
147,21,19,20,20:13|21:7
147,21,19,20,20:13|21:11
147,21,19,20,20:13|21:6
147,22,19,21,20:13|21:7|22:7
147,22,19,21;21,20:13|21:7|22:7
147,22,19,21;21;21,20:13|21:7|22:7
147,24,22,23;23;23,23:14|24:15
147,24,22,23;23;23,23:13|24:11
147,24,22,23;23;23,23:13|24:7
148,5,3,4,4:0|5:1
148,7,5,6,6:2|7:3
148,10,8,9;9;9,9:4|10:5
148,10,8,9;9;9,9:6|10:6
148,10,8,9;9;9,9:6|10:7
148,10,8,9;9;9,9:6|10:8
148,11,8,10,9:6|10:7|11:7
148,11,8,10;10,9:6|10:7|11:7
148,11,8,10;10;10,9:6|10:7|11:7
148,16,14,15,15:9|16:10
148,18,16,17,17:7|18:7
148,18,16,17;17,17:7|18:7
148,18,16,17;17;17,17:7|18:7
148,18,16,17;17;17;17,17:7|18:7
148,20,18,19,19:5|20:11
148,25,23,24,24:12|25:13
149,5,3,4,4:0|5:1
149,7,5,6;6;6;6,6:2|7:3
149,12,10,11;11,11:4|12:5
149,12,10,11;11,11:6|12:7
149,13,10,12,11:4|12:5|13:8
149,15,13,14,14:9|15:9
149,18,16,17,17:6|18:6
149,18,16,17;17,17:6|18:6
149,18,16,17;17;17,17:6|18:6
149,18,16,17;17,17:10|18:10
149,19,16,18,17:10|18:10|19:10
149,18,16,17,17:10|18:10
150,4,2,3,3:0|4:1
150,4,2,3,3:0|4:2
150,5,3,4,4:1|5:3
150,7,5,6;6,6:4|7:5
150,9,7,8,8:6|9:7
150,13,11,12;12,12:8|13:3
150,13,11,12;12,12:8|13:2
150,14,12,13,13:3|14:9
150,14,12,13,13:2|14:10
150,14,12,13,13:2|14:11
150,15,12,14;14,13:3|14:9|15:12
150,15,12,14;14,13:2|14:11|15:10
150,16,12,15,13:3|14:9|15:12|16:3
150,19,17,18,18:13|19:14
150,22,20,21;21;21,21:12|22:4
151,3,1,2,2:0|3:0
151,3,1,2;2,2:0|3:0
151,3,1,2,2:1|3:1
151,3,1,2;2,2:1|3:1
151,4,1,3,2:1|3:1|4:1
151,8,6,7,7:0|8:0
151,8,6,7;7,7:0|8:0
151,10,8,9,9:1|10:1
151,14,12,13,13:2|14:3
151,17,15,16,16:4|17:2
151,17,15,16,16:0|17:5
151,18,15,17,16:4|17:2|18:6
151,22,20,21,21:7|22:8
152,3,1,2;2,2:0|3:0
152,3,1,2,2:0|3:0
152,5,3,4,4:1|5:2
152,9,7,8,8:2|9:2
152,10,7,9,8:3|9:4|10:5
152,10,7,9,8:3|9:4|10:6
152,10,7,9,8:3|9:4|10:0
152,11,9,10,10:0|11:0
152,11,9,10;10,10:0|11:0
152,11,9,10;10,10:6|11:6
152,12,9,11,10:0|11:0|12:7
152,15,13,14,14:2|15:2
152,15,13,14;14,14:2|15:2
152,15,13,14,14:0|15:0
152,15,13,14;14;14,14:2|15:2
152,15,13,14;14;14,14:0|15:0
152,16,13,15,14:2|15:2|16:8
152,18,16,17,17:9|18:9
152,18,16,17;17,17:9|18:9
153,3,1,2,2:0|3:1
153,3,1,2;2,2:0|3:1
153,5,3,4,4:2|5:3
153,8,6,7,7:4|8:5
153,8,6,7,7:6|8:7
153,9,6,8,7:4|8:5|9:1
153,12,10,11,11:8|12:8
153,15,13,14;14,14:9|15:5
153,17,15,16,16:10|17:11
153,17,15,16,16:10|17:5
153,18,16,17,17:11|18:12
153,18,16,17,17:11|18:7
153,19,17,18,18:12|19:13
153,19,17,18,18:12|19:14
153,20,18,19,19:13|20:15
153,22,20,21;21;21,21:16|22:17
153,24,22,23;23;23,23:18|24:19
153,24,22,23;23;23,23:20|24:14
153,25,22,24,23:18|24:19|25:21
154,3,1,2,2:0|3:1
154,5,3,4,4:2|5:2
154,5,3,4;4,4:2|5:2
154,7,5,6,6:3|7:4
154,10,8,9,9:2|10:2
154,10,8,9,9:5|10:5
154,10,8,9;9,9:5|10:5
154,10,8,9;9,9:2|10:2
154,11,8,10,9:5|10:5|11:6
154,15,13,14,14:7|15:8
154,18,16,17,17:9|18:9
154,18,16,17,17:10|18:10
154,19,16,18,17:9|18:9|19:11
154,22,20,21,21:9|22:9
154,24,22,23,23:12|24:13
155,3,1,2;2,2:0|3:1
155,8,6,7;7,7:2|8:3
155,8,6,7;7,7:4|8:5
155,8,6,7;7,7:4|8:4
155,8,6,7;7,7:4|8:6
155,8,6,7;7,7:4|8:7
155,9,6,8,7:4|8:4|9:4
155,9,6,8;8,7:4|8:4|9:4
155,9,6,8;8;8,7:4|8:4|9:4
155,9,6,8;8;8;8,7:4|8:4|9:4
155,9,7,8;8;8,8:4|9:4
155,13,11,12,12:8|13:9
155,13,11,12,12:8|13:1
155,13,11,12,12:8|13:4
155,14,12,13;13,13:1|14:10
155,16,14,15;15,15:11|16:12
155,18,16,17,17:13|18:14
155,18,16,17,17:5|18:4
155,19,16,18,17:13|18:14|19:15
155,19,16,18,17:13|18:14|19:5
155,20,18,19,19:5|20:5
155,19,16,18,17:13|18:14|19:7
155,20,18,19;19,19:5|20:5
155,23,21,22,22:16|23:17
156,3,1,2,2:0|3:1
156,6,4,5;5,5:2|6:3
156,8,6,7,7:4|8:5
156,14,12,13,13:6|14:7
156,14,12,13,13:6|14:8
156,15,13,14,14:7|15:7
156,17,15,16,16:1|17:9
156,17,15,16,16:1|17:10
156,18,16,17,17:9|18:11
156,20,18,19;19,19:12|20:13
156,22,20,21,21:8|22:8
156,22,20,21,21:10|22:10
