strategy,row_index,config_id,validator_count,node_degree,bandwidth,attacker_hash_power,note
lead_stubborn,242362,242363,387,4,14.6,0.4714045721788255,vcD4/deg4/bw14.6/hpQ5
lead_stubborn,47430,47431,277,5,20.9,0.2689147210983604,vcD3/deg5/bw20.9/hpQ2
lead_stubborn,126048,126049,671,6,5.0,0.3008118292997498,vcD7/deg6/bw5.0/hpQ2
lead_stubborn,144750,144751,723,2,61.0,0.2182850515748211,vcD8/deg2/bw61.0/hpQ1
lead_stubborn,73446,73447,898,7,20.9,0.4071129309119736,vcD9/deg7/bw20.9/hpQ4
lead_stubborn,35249,35250,455,7,10.2,0.3349244931377773,vcD5/deg7/bw10.2/hpQ3
lead_stubborn,183470,183471,364,4,20.9,0.3239323376009491,vcD4/deg4/bw20.9/hpQ3
lead_stubborn,236321,236322,861,5,14.6,0.24260325729568,vcD9/deg5/bw14.6/hpQ1
lead_stubborn,62268,62269,742,4,10.2,0.2070972729458678,vcD8/deg4/bw10.2/hpQ1
lead_stubborn,116190,116191,448,3,7.1,0.3969614753991711,vcD5/deg3/bw7.1/hpQ4
lead_stubborn,237284,237285,523,3,10.2,0.4024582743628092,vcD6/deg3/bw10.2/hpQ4
lead_stubborn,47491,47492,277,5,20.9,0.3544902343139808,vcD3/deg5/bw20.9/hpQ3
lead_stubborn,165764,165765,713,5,61.0,0.3439678088500045,vcD8/deg5/bw61.0/hpQ3
lead_stubborn,7458,7459,564,3,20.9,0.2977847312437251,vcD6/deg3/bw20.9/hpQ2
lead_stubborn,173078,173079,69,3,5.0,0.3642632456563252,vcD1/deg3/bw5.0/hpQ3
lead_stubborn,227140,227141,793,6,7.1,0.3883150820571905,vcD8/deg6/bw7.1/hpQ4
lead_stubborn,209385,209386,454,4,14.6,0.4461023732799478,vcD5/deg4/bw14.6/hpQ5
lead_stubborn,55766,55767,475,7,61.0,0.3604525200861999,vcD5/deg7/bw61.0/hpQ3
lead_stubborn,9247,9248,963,5,10.2,0.2114807290736435,vcD10/deg5/bw10.2/hpQ1
lead_stubborn,87181,87182,574,8,7.1,0.3128186843462212,vcD6/deg8/bw7.1/hpQ2
lead_stubborn,188263,188264,517,2,10.2,0.4895135847322587,vcD6/deg2/bw10.2/hpQ5
lead_stubborn,240113,240114,771,5,7.1,0.4312459512484686,vcD8/deg5/bw7.1/hpQ4
lead_stubborn,240363,240364,771,5,14.6,0.4895135847322587,vcD8/deg5/bw14.6/hpQ5
lead_stubborn,150737,150738,372,4,61.0,0.3509947337216052,vcD4/deg4/bw61.0/hpQ3
lead_stubborn,216072,216073,825,5,5.0,0.2631399047202775,vcD9/deg5/bw5.0/hpQ2
lead_stubborn,75252,75253,755,6,10.2,0.366882515038515,vcD8/deg6/bw10.2/hpQ3
lead_stubborn,115132,115133,669,2,7.1,0.2594311744995365,vcD7/deg2/bw7.1/hpQ1
lead_stubborn,154540,154541,611,3,29.9,0.3883150820571905,vcD7/deg3/bw29.9/hpQ4
lead_stubborn,214389,214390,264,6,14.6,0.3196298037016608,vcD3/deg6/bw14.6/hpQ2
lead_stubborn,20007,20008,865,7,5.0,0.3927810904963459,vcD9/deg7/bw5.0/hpQ4
lead_stubborn,167026,167027,75,4,5.0,0.4590052735626949,vcD1/deg4/bw5.0/hpQ5
lead_stubborn,91165,91166,662,4,7.1,0.4409284566649496,vcD7/deg4/bw7.1/hpQ5
lead_stubborn,58096,58097,555,2,5.0,0.4855618445578609,vcD6/deg2/bw5.0/hpQ5
lead_stubborn,55270,55271,475,7,10.2,0.3239323376009491,vcD5/deg7/bw10.2/hpQ3
lead_stubborn,212940,212941,700,6,125.0,0.3883150820571905,vcD7/deg6/bw125.0/hpQ4
lead_stubborn,172618,172619,54,7,42.7,0.4954733651280948,vcD1/deg7/bw42.7/hpQ5
lead_stubborn,223921,223922,294,3,125.0,0.24260325729568,vcD3/deg3/bw125.0/hpQ1
lead_stubborn,30006,30007,336,6,5.0,0.4657787213448116,vcD4/deg6/bw5.0/hpQ5
lead_stubborn,89825,89826,396,7,87.4,0.2702561230694959,vcD4/deg7/bw87.4/hpQ2
lead_stubborn,137738,137739,158,5,61.0,0.4790241755215713,vcD2/deg5/bw61.0/hpQ5
lead_stubborn,42479,42480,811,5,20.9,0.2816906079992455,vcD9/deg5/bw20.9/hpQ2
lead_stubborn,59887,59888,203,3,87.4,0.4229568538429628,vcD2/deg3/bw87.4/hpQ4
lead_stubborn,162694,162695,168,7,42.7,0.3751229337419657,vcD2/deg7/bw42.7/hpQ3
lead_stubborn,117300,117301,267,3,14.6,0.3857676334163057,vcD3/deg3/bw14.6/hpQ4
lead_stubborn,93780,93781,153,8,61.0,0.2269416996374781,vcD2/deg8/bw61.0/hpQ1
lead_stubborn,30297,30298,336,6,10.2,0.21729239263723,vcD4/deg6/bw10.2/hpQ1
lead_stubborn,99470,99471,111,7,20.9,0.3239323376009491,vcD1/deg7/bw20.9/hpQ3
lead_stubborn,147693,147694,846,5,42.7,0.2857700497959219,vcD9/deg5/bw42.7/hpQ2
lead_stubborn,228405,228406,271,4,20.9,0.4911132375299709,vcD3/deg4/bw20.9/hpQ5
lead_stubborn,16742,16743,208,7,61.0,0.3733963553970497,vcD2/deg7/bw61.0/hpQ3
lead_stubborn,170624,170625,780,3,42.7,0.454095890072901,vcD8/deg3/bw42.7/hpQ5
lead_stubborn,159267,159268,624,3,10.2,0.3706046305857265,vcD7/deg3/bw10.2/hpQ3
lead_stubborn,72640,72641,250,8,42.7,0.3883150820571905,vcD3/deg8/bw42.7/hpQ4
lead_stubborn,7816,7817,564,3,87.4,0.4372556438030128,vcD6/deg3/bw87.4/hpQ4
lead_stubborn,140876,140877,821,5,87.4,0.2375482709814891,vcD9/deg5/bw87.4/hpQ1
lead_stubborn,180740,180741,535,5,61.0,0.3883150820571905,vcD6/deg5/bw61.0/hpQ4
lead_stubborn,230992,230993,708,6,125.0,0.2779592827386458,vcD8/deg6/bw125.0/hpQ2
lead_stubborn,78839,78840,594,4,87.4,0.2501126952506121,vcD6/deg4/bw87.4/hpQ1
lead_stubborn,201296,201297,418,6,10.2,0.4855618445578609,vcD5/deg6/bw10.2/hpQ5
lead_stubborn,180919,180920,535,5,125.0,0.2461140406262255,vcD6/deg5/bw125.0/hpQ1
lead_stubborn,112812,112813,297,4,87.4,0.2238256630629619,vcD3/deg4/bw87.4/hpQ1
lead_stubborn,219374,219375,496,3,14.6,0.2525545317138812,vcD5/deg3/bw14.6/hpQ1
lead_stubborn,194285,194286,491,6,10.2,0.4461023732799478,vcD5/deg6/bw10.2/hpQ5
lead_stubborn,172754,172755,54,7,61.0,0.3277016708096898,vcD1/deg7/bw61.0/hpQ3
lead_stubborn,152067,152068,909,5,5.0,0.3706046305857265,vcD10/deg5/bw5.0/hpQ3
lead_stubborn,141343,141344,110,4,14.6,0.3297294244236074,vcD1/deg4/bw14.6/hpQ3
lead_stubborn,186986,186987,94,5,125.0,0.3108669576156866,vcD1/deg5/bw125.0/hpQ2
lead_stubborn,208885,208886,512,4,87.4,0.4461023732799478,vcD6/deg4/bw87.4/hpQ5
lead_stubborn,241436,241437,605,5,20.9,0.469568977189866,vcD6/deg5/bw20.9/hpQ5
lead_stubborn,121416,121417,338,3,20.9,0.4372556438030128,vcD4/deg3/bw20.9/hpQ4
lead_stubborn,238490,238491,629,6,20.9,0.3969614753991711,vcD7/deg6/bw20.9/hpQ4
lead_stubborn,176609,176610,231,5,42.7,0.4737946714611262,vcD3/deg5/bw42.7/hpQ5
lead_stubborn,26918,26919,469,5,125.0,0.4954733651280948,vcD5/deg5/bw125.0/hpQ5
lead_stubborn,99640,99641,111,7,42.7,0.3883150820571905,vcD1/deg7/bw42.7/hpQ4
lead_stubborn,209048,209049,454,4,5.0,0.3008118292997498,vcD5/deg4/bw5.0/hpQ2
lead_stubborn,68317,68318,399,7,14.6,0.2312345941585266,vcD4/deg7/bw14.6/hpQ1
lead_stubborn,149795,149796,408,6,61.0,0.4626922801013836,vcD4/deg6/bw61.0/hpQ5
lead_stubborn,120851,120852,86,2,87.4,0.3898718220747056,vcD1/deg2/bw87.4/hpQ4
lead_stubborn,6434,6435,645,7,20.9,0.444752781116749,vcD7/deg7/bw20.9/hpQ5
lead_stubborn,21797,21798,213,6,61.0,0.21729239263723,vcD2/deg6/bw61.0/hpQ1
lead_stubborn,193392,193393,178,4,14.6,0.2779592827386458,vcD2/deg4/bw14.6/hpQ2
lead_stubborn,143498,143499,658,3,20.9,0.3227365905845993,vcD7/deg3/bw20.9/hpQ3
lead_stubborn,110564,110565,199,6,29.9,0.3439678088500045,vcD2/deg6/bw29.9/hpQ3
lead_stubborn,215363,215364,332,6,14.6,0.4895135847322587,vcD4/deg6/bw14.6/hpQ5
lead_stubborn,118988,118989,928,4,125.0,0.2129379249701362,vcD10/deg4/bw125.0/hpQ1
lead_stubborn,83592,83593,782,2,29.9,0.2779592827386458,vcD8/deg2/bw29.9/hpQ2
lead_stubborn,14778,14779,618,4,61.0,0.3642632456563252,vcD7/deg4/bw61.0/hpQ3
lead_stubborn,77451,77452,285,7,20.9,0.3898718220747056,vcD3/deg7/bw20.9/hpQ4
lead_stubborn,151122,151123,346,7,7.1,0.3494898166749496,vcD4/deg7/bw7.1/hpQ3
lead_stubborn,171080,171081,254,3,5.0,0.2269416996374781,vcD3/deg3/bw5.0/hpQ1
lead_stubborn,148290,148291,501,2,10.2,0.3969614753991711,vcD5/deg2/bw10.2/hpQ4
lead_stubborn,165337,165338,713,5,14.6,0.3509947337216052,vcD8/deg5/bw14.6/hpQ3
lead_stubborn,42097,42098,811,5,5.0,0.21729239263723,vcD9/deg5/bw5.0/hpQ1
lead_stubborn,142106,142107,883,5,7.1,0.4657787213448116,vcD9/deg5/bw7.1/hpQ5
lead_stubborn,67195,67196,655,4,7.1,0.4626922801013836,vcD7/deg4/bw7.1/hpQ5
lead_stubborn,103773,103774,429,4,61.0,0.4831039344913304,vcD5/deg4/bw61.0/hpQ5
lead_stubborn,49722,49723,26,4,61.0,0.3494898166749496,vcD1/deg4/bw61.0/hpQ3
lead_stubborn,114869,114870,693,6,87.4,0.4344347691369841,vcD7/deg6/bw87.4/hpQ4
lead_stubborn,244256,244257,414,4,10.2,0.2281547978409189,vcD5/deg4/bw10.2/hpQ1
lead_stubborn,19307,19308,136,4,14.6,0.3927810904963459,vcD2/deg4/bw14.6/hpQ4
lead_stubborn,70233,70234,975,5,10.2,0.4113840234518945,vcD10/deg5/bw10.2/hpQ4
lead_stubborn,232473,232474,116,3,20.9,0.4831039344913304,vcD1/deg3/bw20.9/hpQ5
lead_stubborn,247860,247861,445,4,87.4,0.3070497535774244,vcD5/deg4/bw87.4/hpQ2
lead_stubborn,10200,10201,104,4,10.2,0.3857676334163057,vcD1/deg4/bw10.2/hpQ4
lead_stubborn,159901,159902,624,3,125.0,0.2959114945914544,vcD7/deg3/bw125.0/hpQ2
lead_stubborn,611,612,195,2,42.7,0.3985108847427614,vcD2/deg2/bw42.7/hpQ4
lead_stubborn,133128,133129,851,6,7.1,0.2901917465581629,vcD9/deg6/bw7.1/hpQ2
lead_stubborn,215927,215928,332,6,125.0,0.4304538627565802,vcD4/deg6/bw125.0/hpQ4
lead_stubborn,183859,183860,364,4,87.4,0.2892063661005389,vcD4/deg4/bw87.4/hpQ2
lead_stubborn,156844,156845,462,8,87.4,0.2747520561924723,vcD5/deg8/bw87.4/hpQ2
lead_stubborn,203954,203955,601,6,125.0,0.3277016708096898,vcD6/deg6/bw125.0/hpQ3
lead_stubborn,108740,108741,776,4,61.0,0.3883150820571905,vcD8/deg4/bw61.0/hpQ4
lead_stubborn,124256,124257,544,6,10.2,0.2281547978409189,vcD6/deg6/bw10.2/hpQ1
lead_stubborn,206182,206183,790,7,7.1,0.2028601193675408,vcD8/deg7/bw7.1/hpQ1
lead_stubborn,99118,99119,111,7,7.1,0.4954733651280948,vcD1/deg7/bw7.1/hpQ5
lead_stubborn,72024,72025,250,8,5.0,0.454095890072901,vcD3/deg8/bw5.0/hpQ5
lead_stubborn,136850,136851,344,2,87.4,0.2182850515748211,vcD4/deg2/bw87.4/hpQ1
lead_stubborn,151175,151176,346,7,7.1,0.3027820674966874,vcD4/deg7/bw7.1/hpQ2
lead_stubborn,121618,121619,338,3,42.7,0.4954733651280948,vcD4/deg3/bw42.7/hpQ5
lead_stubborn,207384,207385,319,6,14.6,0.4024582743628092,vcD4/deg6/bw14.6/hpQ4
lead_stubborn,183086,183087,364,4,5.0,0.3108669576156866,vcD4/deg4/bw5.0/hpQ2
lead_stubborn,196732,196733,88,4,61.0,0.2594311744995365,vcD1/deg4/bw61.0/hpQ1
lead_stubborn,170339,170340,780,3,14.6,0.2501126952506121,vcD8/deg3/bw14.6/hpQ1
lead_stubborn,154041,154042,611,3,5.0,0.2544637386172081,vcD7/deg3/bw5.0/hpQ1
lead_stubborn,191511,191512,732,3,29.9,0.3985108847427614,vcD8/deg3/bw29.9/hpQ4
lead_stubborn,209213,209214,454,4,10.2,0.4312459512484686,vcD5/deg4/bw10.2/hpQ4
lead_stubborn,219465,219466,496,3,20.9,0.4409284566649496,vcD5/deg3/bw20.9/hpQ5
lead_stubborn,123603,123604,759,4,42.7,0.2627648343443758,vcD8/deg4/bw42.7/hpQ2
lead_stubborn,245,246,195,2,10.2,0.4184444837622084,vcD2/deg2/bw10.2/hpQ4
lead_stubborn,107655,107656,914,7,42.7,0.4768512858671266,vcD10/deg7/bw42.7/hpQ5
lead_stubborn,10954,10955,104,4,125.0,0.3277016708096898,vcD1/deg4/bw125.0/hpQ3
